# line thread mrep count
1 1 skip_list 2783247
2 1 cuckoo 2238078
3 1 prefixhash 2955315
4 1 hash_linkedlist 2759157
6 2 skip_list 4940152
7 2 cuckoo 3495505
8 2 prefixhash 4302221
9 2 hash_linkedlist 5034882
11 4 skip_list 4632117
12 4 cuckoo 6042246
13 4 prefixhash 5510366
14 4 hash_linkedlist 7255956
16 8 skip_list 8011794
17 8 cuckoo 7895995
18 8 prefixhash 9619985
19 8 hash_linkedlist 14248719
21 16 skip_list 22673118
22 16 cuckoo 17621421
23 16 prefixhash 20215816
24 16 hash_linkedlist 22259318
